Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Nakiwala, Dorothy; Vernet, Céline; Lyon-Caen, Sarah; Lavorel, Anna; Rolland, Matthieu; Cracowski, Claire; Pin, Isabelle; Calafat, Antonia M; Slama, Rémy; Philippat, Claire; ",Use of personal care products during pregnancy in relation to urinary concentrations of select phenols: a longitudinal analysis from the SEPAGES feasibility study,International journal of hygiene and environmental health,227,,113518,2020,Urban & Fischer
"Rolland, M; McGrath, N; Tiendrebeogo, T; Larmarange, J; Pillay, D; Dabis, F; ","No effect of test and treat on sexual behaviours at population level in rural South Africa (vol 33, pg 709, 2019)",AIDS,34,10,1579-1579,2020,"LIPPINCOTT WILLIAMS & WILKINS TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA …"
"Moal, Joëlle Le; Rigou*, Annabel; De Crouy-Chanel, Perrine; Goria, Sarah; Rolland, Matthieu; Wagner, Vérène; Kudjawu, Yao; De Mouzon, Jacques; Tertre, Alain Le; ",TDS indicators in France: nationwide results,ISEE Conference Abstracts 28,2016,1,P1-312,2016,
"Guilbert, A; Rolland, M; Pin1, I; Thomsen, C; Sakhi, A; Sabaredzovic, A; Slama, R; Guichardet, K; Philippat, C; ",Prenatal exposure to select endocrine disruptors and child behaviour: a multi-pollutant approach based on a cohort with repeated exposure assessments,ENVIRONMENTAL HEALTH PERSPECTIVES SUPPLEMENTS,2020,1,,2020,Superintendent of Documents
"Guilbert, Ariane; Rolland, Matthieu; Pin, Isabelle; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Slama, Rémy; Guichardet, Karine; Philippat, Claire; ",Associations between a mixture of phenols and phthalates and child behaviour in a French mother–child cohort with repeated assessment of exposure,Environment international,156,,106697,2021,Pergamon
"Philippat, Claire; Rolland, Matthieu; Lyon-Caen, Sarah; Pin, Isabelle; Sakhi, Amrit K; Sabaredzovic, Azemira; Thomsen, Cathrine; Slama, Rémy; ",Pre-and early post-natal exposure to phthalates and DINCH in a new type of mother-child cohort relying on within-subject pools of repeated urine samples,Environmental Pollution,287,,117650,2021,Elsevier
"Jedynak, Paulina; Rolland, Matthieu; Pin, Isabelle; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Philippat, Claire; Slama, Remy; ",Pregnancy exposure to phenols and anthropometric measures in gestation and at birth,Epidemiology,33,5,616-623,2022,LWW
"Hough, Ian; Rolland, Matthieu; Guilbert, Ariane; Seyve, Emie; Heude, Barbara; Slama, Rémy; Lyon-Caen, Sarah; Pin, Isabelle; Chevrier, Cécile; Kloog, Itai; ",Early delivery following chronic and acute ambient temperature exposure: a comprehensive survival approach,International Journal of Epidemiology,52,3,761-773,2023,Oxford University Press
"Hough, Ian; Rolland, Matthieu; Guilbert, Ariane; Seyve, Emie; Heude, Barbara; Slama, REmy; Lyon-Caen, Sarah; Pin, Isabelle; Chevrier, Cécile; Kloog, Itai; ",Early delivery following chronic and acute in utero ambient temperature exposure: a comprehensive survival approach,ISEE Conference Abstracts,2022,1,,2022,
"Jedynak, Paulina; Rolland, Matthieu; Pin, Isabelle; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Philippat, Claire; Slama, Rémy; ",Supplementary materials Pregnancy exposure to phenols and anthropometric measures in gestation and at birth in a cohort relying on repeated within-subject urine biospecimens,,,,,,
"Mustieles, Vicente; Rolland, Matthieu; Pin, Isabelle; Thomsen, Cathrine; Sakhi, Amrit; Sabaredzovic, Azemira; Guichardet, Karine; Slama, Rémy; Philippat, Claire; Study Group, SEPAGES; ",Early-life exposure to a mixture of phthalates and phenols and child social behavior in a new type of mother-child cohort relying on within-subject pools of repeated urine biospecimens,ISEE Conference Abstracts,2022,1,,2022,
"Rolland, Matthieu; Lyon-Caen, Sarah; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Bayat, Sam; Slama, Rémy; Méary, David; Philippat, Claire; ",Effects of early exposure to phthalates on cognitive development and visual behavior at 24 months,Environmental Research,219,,115068,2023,Academic Press
"Rolland, Matthieu; Mcgrath, Nuala; Tiendrebeogo, Thierry; Larmarange, Joseph; Pillay, Deenan; Dabis, François; Orne-Gliemann, Joanna; ","Is there an effect of universal ART on sexual behaviours in rural KwaZulu-Natal, South Africa? ANRS 12249 treatment-as-prevention (TasP) trial",9th IAS Conference on HIV Science,,,,2017,
"Coiffier, Ophélie; Nakiwala, Dorothy; Rolland, Matthieu; Malatesta, Andres; Lyon-Caen, Sarah; Chovelon, Benoît; Faure, Patrice; Gauchez, Anne Sophie; Guergour, Dorra; Sakhi, Amrit K; ",Exposure to a mixture of non-persistent environmental chemicals and neonatal thyroid function in a cohort with improved exposure assessment,Environment international,173,,107840,2023,Pergamon
"Mustieles, Vicente; Rolland, Matthieu; Pin, Isabelle; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Muckle, Gina; Guichardet, Karine; Slama, Rémy; Philippat, Claire; ",Early-life exposure to a mixture of phenols and phthalates in relation to child social behavior: applying an evidence-based prioritization to a cohort with improved exposure assessment,Environmental health perspectives,131,8,087006,2023,
"Guilbert, Ariane; Hough, Ian; Seyve, Emie; Rolland, Matthieu; Quentin, Joane; Slama, Rémy; Lyon-Caen, Sarah; Kloog, Itai; Bayat, Sam; Siroux, Valérie; ",Association of prenatal and postnatal exposures to warm or cold air temperatures with lung function in young infants,JAMA network open,6,3,e233376,2023,
"Le Moal, Joëlle; Rolland, Matthieu; Wagner, Vérène; Royère, Dominique; De Mouzon, Jacques; Rigou, Annabel; ",Decline of sperm quality in France between 1989 and 2005,ISEE Conference Abstracts 25,2013,1,3432,2013,
"Ouidir, Marion; Jedynak, Paulina; Rolland, Matthieu; Caen, Sarah Lyon; Thomsen, Cathrine; Sakhi, Amrit; Sabaredzovic, Azemira; Bayat, Sam; Slama, Rémy; Philippat, Claire; ",Prenatal exposure to phthalates and fetal growth in the SEPAGES cohort relying on repeated urine collection,ISEE,2023,1,,2023,
"Moal, J le; Rigou, A; Crouy-Chanel, P de; Goria, S; Rolland, M; Wagner, V; Kudjawu, Y; Mouzon, J de; Tertre, A le; ","Combined analysis of the four indicators of testicular dysgenesis syndrome in France, in the context of exposure to endocrine disruptors: cryptorchidias, hypospadias, testicular cancer and sperm quality.",,,,,2018,
"Moal, J le; Rolland, M; Wagner, V; Mouzon, J de; Royère, D; ",Sperm count trend in France between 1989 and 2005 based on the FIVNAT database.,,,,,2012,
"Ouidir, Marion; Jedynak, Paulina; Rolland, Matthieu; Lyon-Caen, Sarah; Thomsen, Cathrine; Sakhi, Amrit K; Sabaredzovic, Azemira; Bayat, Sam; Slama, Rémy; Philippat, Claire; ",Analyzing the impact of phthalate and DINCH exposure on fetal growth in a cohort with repeated urine collection,Environment International,186,,108584,2024,Pergamon
"Relan, Pryanka; Rylance, Jamie; Arabi, Yaseen M; Convocar, Pauline; Rolland, Matthieu; Diaz, Janet V; Albayadi, Islam Gamal; Al-Touny, Ahmad; Al-Touny, Aiman; Al-Touny, Shimaa Ahmed Hamed; ","Medical oxygen and respiratory support requirements for patients hospitalised with COVID-19 in 23 low-income and middle-income countries: a prospective, observational cohort study",The Lancet Global Health,14,2,e233-e241,2026,Elsevier
"Rolland, Matthieu; Bustamante, Mariona; Jedynak, Paulina; Thomsen, Cathrine; Sakhi, Amrit K; Foraster, Maria; Gascon, Mireia; Gómez-Roig, Maria Dolores; Llurba, Elisa; Rivas, Ioar; ",Prenatal phenol exposure and child behaviour: insights into the hypothalamic–pituitary–adrenal axis from two prospective mother–child cohorts,The Lancet Planetary Health,9,12,,2025,Elsevier
"Bodnar, TS; Raineki, C; Wertelecki, W; Yevtushok, L; Plotka, L; Zymak-Zakutnya, N; Honerkamp-Smith, G; Wells, A; Rolland, M; Woodward, TS; ",Collaborative Initiative on Fetal Alcohol Spectrum Disorders (CIFASD) Altered maternal immune networks are associated with adverse child neurodevelopment: Impact of alcohol consumption during pregnancy,Brain Behav. Immun,73,,205-215,2018,
